============================================
>>> TEST SHIFT LEFT UNIT <<<
============================================
Test 0: PASS | data=7673c4 | shift=20 | out=400000
Test 1: PASS | data=fdd502 | shift=20 | out=200000
Test 2: PASS | data=178378 | shift=20 | out=800000
Test 3: PASS | data=a49eb6 | shift=20 | out=600000
Test 4: PASS | data=6ff3b7 | shift=3 | out=7f9db8
Test 5: PASS | data=9e1721 | shift=17 | out=420000
Test 6: PASS | data=8cafc5 | shift=2 | out=32bf14
Test 7: PASS | data=51ff62 | shift=5 | out=3fec40
Test 8: PASS | data=fbc912 | shift=14 | out=448000
Test 9: PASS | data=323bfd | shift=20 | out=d00000
Test 10: PASS | data=adf53b | shift=16 | out=3b0000
Test 11: PASS | data=cf04b2 | shift=4 | out=f04b20
Test 12: PASS | data=1b851e | shift=14 | out=478000
Test 13: PASS | data=f8999e | shift=6 | out=266780
Test 14: PASS | data=3b6b10 | shift=6 | out=dac400
Test 15: PASS | data=50ed63 | shift=8 | out=ed6300
Test 16: PASS | data=c8bb1d | shift=2 | out=22ec74
Test 17: PASS | data=938f06 | shift=1 | out=271e0c
Test 18: PASS | data=2d3263 | shift=16 | out=630000
Test 19: PASS | data=62be6f | shift=6 | out=af9bc0
Test 20: PASS | data=83fef7 | shift=17 | out=ee0000
Test 21: PASS | data=d9b39e | shift=15 | out=cf0000
Test 22: PASS | data=58c16e | shift=16 | out=6e0000
Test 23: PASS | data=b8e34f | shift=19 | out=780000
Test 24: PASS | data=b28994 | shift=2 | out=ca2650
Test 25: PASS | data=7ff166 | shift=23 | out=000000
Test 26: PASS | data=54b309 | shift=3 | out=a59848
Test 27: PASS | data=b0f61f | shift=20 | out=f00000
Test 28: PASS | data=1036c5 | shift=11 | out=b62800
Test 29: PASS | data=72ea4b | shift=20 | out=b00000
Test 30: PASS | data=c8a8f3 | shift=17 | out=e60000
Test 31: PASS | data=dd7eed | shift=10 | out=fbb400
Test 32: PASS | data=49d55d | shift=23 | out=800000
Test 33: PASS | data=e5ed24 | shift=23 | out=000000
Test 34: PASS | data=54b4a9 | shift=5 | out=969520
Test 35: PASS | data=083739 | shift=16 | out=390000
Test 36: PASS | data=87e8ea | shift=10 | out=a3a800
Test 37: PASS | data=730154 | shift=4 | out=301540
Test 38: PASS | data=a0cb23 | shift=5 | out=196460
Test 39: PASS | data=0843b3 | shift=21 | out=600000
Test 40: PASS | data=e950d5 | shift=22 | out=400000
Test 41: PASS | data=87b8cf | shift=5 | out=f719e0
Test 42: PASS | data=b895d7 | shift=1 | out=712bae
Test 43: PASS | data=c842f6 | shift=23 | out=000000
Test 44: PASS | data=f9f5ef | shift=5 | out=3ebde0
Test 45: PASS | data=fe433f | shift=7 | out=219f80
Test 46: PASS | data=75e32a | shift=15 | out=950000
Test 47: PASS | data=949a9a | shift=19 | out=d00000
Test 48: PASS | data=8c1f53 | shift=7 | out=0fa980
Test 49: PASS | data=f3b98c | shift=10 | out=e63000
Test 50: PASS | data=972bfb | shift=16 | out=fb0000
Test 51: PASS | data=0fd9c2 | shift=5 | out=fb3840
Test 52: PASS | data=6841c8 | shift=12 | out=1c8000
Test 53: PASS | data=76a661 | shift=13 | out=cc2000
Test 54: PASS | data=e9dd21 | shift=11 | out=e90800
Test 55: PASS | data=710459 | shift=5 | out=208b20
Test 56: PASS | data=1016bd | shift=22 | out=400000
Test 57: PASS | data=aa2662 | shift=18 | out=880000
Test 58: PASS | data=ba1e90 | shift=5 | out=43d200
Test 59: PASS | data=71e058 | shift=0 | out=71e058
Test 60: PASS | data=cfde60 | shift=11 | out=f30000
Test 61: PASS | data=6f8cfc | shift=13 | out=9f8000
Test 62: PASS | data=cfa46c | shift=22 | out=000000
Test 63: PASS | data=539ae7 | shift=23 | out=800000
Test 64: PASS | data=e7ae47 | shift=16 | out=470000
Test 65: PASS | data=054833 | shift=4 | out=548330
Test 66: PASS | data=c71ab6 | shift=7 | out=8d5b00
Test 67: PASS | data=74e53a | shift=15 | out=9d0000
Test 68: PASS | data=45f653 | shift=20 | out=300000
Test 69: PASS | data=6de8f4 | shift=20 | out=400000
Test 70: PASS | data=647b28 | shift=7 | out=3d9400
Test 71: PASS | data=3fd895 | shift=20 | out=500000
Test 72: PASS | data=b91b64 | shift=21 | out=800000
Test 73: PASS | data=9a978a | shift=13 | out=f14000
Test 74: PASS | data=c6707f | shift=3 | out=3383f8
Test 75: PASS | data=eaa8dc | shift=20 | out=c00000
Test 76: PASS | data=4ad6c6 | shift=14 | out=b18000
Test 77: PASS | data=16f079 | shift=4 | out=6f0790
Test 78: PASS | data=8048d4 | shift=4 | out=048d40
Test 79: PASS | data=cd76bd | shift=19 | out=e80000
Test 80: PASS | data=dd1302 | shift=17 | out=040000
Test 81: PASS | data=42ce53 | shift=19 | out=980000
Test 82: PASS | data=0b64de | shift=8 | out=64de00
Test 83: PASS | data=e0b004 | shift=15 | out=020000
Test 84: PASS | data=6194f8 | shift=19 | out=c00000
Test 85: PASS | data=3bab80 | shift=17 | out=000000
Test 86: PASS | data=53ff61 | shift=7 | out=ffb080
Test 87: PASS | data=4c90d2 | shift=4 | out=c90d20
Test 88: PASS | data=0b76bc | shift=3 | out=5bb5e0
Test 89: PASS | data=751b31 | shift=22 | out=400000
Test 90: PASS | data=715aed | shift=12 | out=aed000
Test 91: PASS | data=8a63d4 | shift=13 | out=7a8000
Test 92: PASS | data=5ac114 | shift=19 | out=a00000
