============================================
>>> TEST SUM UNIT (28-bit) <<<
============================================
Test 0: PASS | A=97673c4 | B=b1e5d9c | Cin=0 | SUM=494d160 | Cout=1
Test 1: PASS | A=8c2e0e4 | B=2178378 | Cin=0 | SUM=ada645c | Cout=0
Test 2: PASS | A=aa49eb6 | B=a14ffe4 | Cin=1 | SUM=4b99e9b | Cout=1
Test 3: PASS | A=cc47153 | B=f9e1721 | Cin=1 | SUM=c628875 | Cout=1
Test 4: PASS | A=f8cafc5 | B=253f382 | Cin=0 | SUM=1e0a347 | Cout=1
Test 5: PASS | A=3581635 | B=dfbc912 | Cin=0 | SUM=153df47 | Cout=1
Test 6: PASS | A=4323bfd | B=c6b41f4 | Cin=1 | SUM=09d7df2 | Cout=1
Test 7: PASS | A=66d4d58 | B=9cf04b2 | Cin=0 | SUM=03c520a | Cout=1
Test 8: PASS | A=a1b851e | B=d1f459e | Cin=0 | SUM=73acabc | Cout=1
Test 9: PASS | A=b331cee | B=83b6b10 | Cin=0 | SUM=36e87fe | Cout=1
Test 10: PASS | A=a50ed63 | B=99fa2c0 | Cin=1 | SUM=3f09024 | Cout=1
Test 11: PASS | A=11b0f22 | B=f938f06 | Cin=1 | SUM=0ae9e29 | Cout=1
Test 12: PASS | A=92d3263 | B=454c278 | Cin=1 | SUM=d81f4dc | Cout=0
Test 13: PASS | A=354dace | B=383fef7 | Cin=1 | SUM=6d8d9c6 | Cout=0
Test 14: PASS | A=cd9b39e | B=c43d877 | Cin=0 | SUM=91d8c15 | Cout=1
Test 15: PASS | A=1a80ca8 | B=4b8e34f | Cin=1 | SUM=660eff8 | Cout=0
Test 16: PASS | A=9b28994 | B=d0b2ee2 | Cin=0 | SUM=6bdb876 | Cout=1
Test 17: PASS | A=ffc1b1f | B=d54b309 | Cin=1 | SUM=d50ce29 | Cout=1
Test 18: PASS | A=7b0f61f | B=1adaf84 | Cin=1 | SUM=95ea5a4 | Cout=0
Test 19: PASS | A=921a633 | B=f72ea4b | Cin=0 | SUM=894907e | Cout=1
Test 20: PASS | A=6c8a8f3 | B=eb32cc9 | Cin=1 | SUM=57bd5bd | Cout=1
Test 21: PASS | A=bb965ca | B=c49d55d | Cin=1 | SUM=8033b28 | Cout=1
Test 22: PASS | A=3e5ed24 | B=349b2ef | Cin=1 | SUM=72fa014 | Cout=0
Test 23: PASS | A=be8d96d | B=6083739 | Cin=0 | SUM=1f110a6 | Cout=1
Test 24: PASS | A=a87e8ea | B=de738c2 | Cin=0 | SUM=86f21ac | Cout=1
Test 25: PASS | A=2aa4954 | B=8a0cb23 | Cin=1 | SUM=b4b1478 | Cout=0
Test 26: PASS | A=70843b3 | B=9bc7fad | Cin=1 | SUM=0c4c361 | Cout=1
Test 27: PASS | A=eb97b2e | B=a87b8cf | Cin=1 | SUM=94133fe | Cout=1
Test 28: PASS | A=0b895d7 | B=fda0489 | Cin=0 | SUM=0929a60 | Cout=1
