i_32_a,sign,i_32_b,o_32_s,o_expected,Delta,%saiso,,,,,,,,,
0,0,0,0,0,0,0.00000000000000000000%,,,,,,,,Max,1.47659999877214
0,0,0,0,0,0,0.00000000000000000000%,,,,,,,,Min,-1.47659999877214
0,1,0,0,0,0,0.00000000000000000000%,,,,,,,,,
0,1,0,0,0,0,0.00000000000000000000%,,,,,,,,Max_saiso,0.00000874774821002576%
0,0,0,0,0,0,0.00000000000000000000%,,,,,,,,,
0,0,0,0,0,0,0.00000000000000000000%,,,,,,,,,
0,1,0,0,0,0,0.00000000000000000000%,,,,,,,,,
0,1,0,0,0,0,0.00000000000000000000%,,,,,,,,,
2.3536,0,2.3536,4.7072,4.7072,0,0.00000000000000000000%,,,,,,,,,
2.3536,0,2.3536,4.7072,4.7072,0,0.00000000000000000000%,,,,,,,,,
2.3536,1,2.3536,0,0,0,0.00000000000000000000%,,,,,,,,,
2.3536,1,2.3536,0,0,0,0.00000000000000000000%,,,,,,,,,
5.4639,0,5.4639,10.9278,10.9278,0,0.00000000000000000000%,,,,,,,,,
5.4639,0,5.4639,10.9278,10.9278,0,0.00000000000000000000%,,,,,,,,,
5.4639,1,5.4639,0,0,0,0.00000000000000000000%,,,,,,,,,
5.4639,1,5.4639,0,0,0,0.00000000000000000000%,,,,,,,,,
5.5,0,2.2,7.7,7.7,0,0.00000000000000000000%,,,,,,,,,
2.2,0,5.5,7.7,7.7,0,0.00000000000000000000%,,,,,,,,,
5.5,1,2.2,3.3,3.3,0,0.00000000000000000000%,,,,,,,,,
2.2,1,5.5,-3.3,-3.3,0,0.00000000000000000000%,,,,,,,,,
-5.5,0,2.2,-3.3,-3.3,0,0.00000000000000000000%,,,,,,,,,
2.2,0,-5.5,-3.3,-3.3,0,0.00000000000000000000%,,,,,,,,,
-5.5,1,2.2,-7.7,-7.7,0,0.00000000000000000000%,,,,,,,,,
2.2,1,-5.5,7.7,7.7,0,0.00000000000000000000%,,,,,,,,,
-5.5,0,-5.5,-11,-11,0,0.00000000000000000000%,,,,,,,,,
-5.5,0,-5.5,-11,-11,0,0.00000000000000000000%,,,,,,,,,
-5.5,1,-5.5,0,0,0,0.00000000000000000000%,,,,,,,,,
-5.5,1,-5.5,0,0,0,0.00000000000000000000%,,,,,,,,,
-4,0,-30,-34,-34,0,0.00000000000000000000%,,,,,,,,,
-30,0,-4,-34,-34,0,0.00000000000000000000%,,,,,,,,,
