
=== START 8-bit LEADING ONE POSITION DETECTOR TEST ===

[Fixed] data=00000000 => expect(pos=0, zero=1), dut(pos=0, zero=1) => PASS
[Fixed] data=00000001 => expect(pos=7, zero=0), dut(pos=7, zero=0) => PASS
[Fixed] data=00000010 => expect(pos=6, zero=0), dut(pos=6, zero=0) => PASS
[Fixed] data=00000011 => expect(pos=6, zero=0), dut(pos=6, zero=0) => PASS
[Fixed] data=00000100 => expect(pos=5, zero=0), dut(pos=5, zero=0) => PASS
[Fixed] data=00000101 => expect(pos=5, zero=0), dut(pos=5, zero=0) => PASS
[Fixed] data=00000110 => expect(pos=5, zero=0), dut(pos=5, zero=0) => PASS
[Fixed] data=00000111 => expect(pos=5, zero=0), dut(pos=5, zero=0) => PASS
[Fixed] data=00001000 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00001001 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00001010 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00001011 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00001100 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00001101 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00001110 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00001111 => expect(pos=4, zero=0), dut(pos=4, zero=0) => PASS
[Fixed] data=00010000 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00010001 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00010010 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00010011 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00010100 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00010101 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00010110 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00010111 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00011000 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00011001 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00011010 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00011011 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
[Fixed] data=00011100 => expect(pos=3, zero=0), dut(pos=3, zero=0) => PASS
